DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-03-14 23:00:00,0.7249,20220500,0.7246,20220400,0.7249,20220500
2022-03-21 23:00:00,0.7388,20220500,0.7385,20220400,0.7388,20220500
2022-03-28 23:00:00,0.752,20220500,0.7517,20220400,0.752,20220500
2022-03-29 23:00:00,,20220500,0.7506,20220400,,20220500
2022-04-04 23:00:00,0.7511,20220500,0.7508,20220400,0.7511,20220500
2022-04-06 23:00:00,0.7565,20220500,,20220400,0.7565,20220500
2022-04-11 23:00:00,0.7441,20220500,0.7438,20220400,0.7441,20220500
2022-04-18 23:00:00,0.7377,20220600,0.7373,20220500,0.7377,20220600
2022-04-25 23:00:00,0.7183,20220600,0.7179,20220500,0.7183,20220600
2022-04-26 23:00:00,,20220600,0.7203,20220500,,20220600
2022-04-30 23:00:00,,20220600,0.7170000000000001,20220500,,20220600
2022-05-02 23:00:00,0.7078,20220600,0.7074,20220500,0.7078,20220600
2022-05-16 23:00:00,0.6925,20220700,0.6921,20220600,0.6925,20220700
2022-05-23 23:00:00,0.7120000000000001,20220700,0.7116,20220600,0.7120000000000001,20220700
2022-05-30 23:00:00,0.7188,20220700,0.7184,20220600,0.7188,20220700
2022-06-06 23:00:00,0.7226,20220700,0.7222,20220600,0.7226,20220700
2022-06-13 23:00:00,0.6973,20220800,0.6972,20220700,0.6973,20220800
2022-06-20 23:00:00,0.6992,20220800,0.6991,20220700,0.6992,20220800
2022-06-27 23:00:00,0.6925,20220800,0.6923,20220700,0.6925,20220800
2022-07-04 23:00:00,0.6886,20220800,0.6884,20220700,0.6886,20220800
2022-07-11 23:00:00,0.6782,20220800,0.6779999999999999,20220700,0.6782,20220800
2022-07-18 23:00:00,0.6837,20220900,0.6835,20220800,0.6837,20220900
2022-07-25 23:00:00,0.6959,20220900,0.6957,20220800,0.6959,20220900
2022-08-01 23:00:00,0.7049,20220900,0.7045,20220800,0.7049,20220900
2022-08-08 23:00:00,0.6976,20220900,0.6972,20220800,0.6976,20220900
2022-08-15 23:00:00,0.7038,20221000,0.7035,20220900,0.7038,20221000
2022-08-22 23:00:00,0.6911,20221000,0.6909,20220900,0.6911,20221000
2022-08-24 23:00:00,,20221000,0.6920000000000001,20220900,,20221000
2022-08-26 23:00:00,,20221000,0.6961,20220900,,20221000
2022-08-29 23:00:00,0.687,20221000,0.6867,20220900,0.687,20221000
2022-08-30 23:00:00,0.6915,20221000,,20220900,0.6915,20221000
2022-08-31 23:00:00,0.6859999999999999,20221000,,20220900,0.6859999999999999,20221000
2022-09-05 23:00:00,0.6792,20221000,0.6789,20220900,0.6792,20221000
2022-09-12 23:00:00,0.6875,20221100,0.6872,20221000,0.6875,20221100
2022-09-13 23:00:00,,20221100,0.6901,20221000,,20221100
2022-09-19 23:00:00,0.6687,20221100,0.6684,20221000,0.6687,20221100
2022-09-20 23:00:00,,20221100,0.672,20221000,,20221100
2022-09-22 23:00:00,,20221100,0.6593,20221000,,20221100
2022-09-26 23:00:00,0.6505,20221100,0.6503,20221000,0.6505,20221100
2022-09-28 23:00:00,,20221100,0.64,20221000,,20221100
2022-09-29 23:00:00,,20221100,0.6534,20221000,,20221100
2022-10-03 23:00:00,0.6455,20221100,0.6453,20221000,0.6455,20221100
2022-10-10 23:00:00,0.6317,20221100,0.6313,20221000,0.6317,20221100
2022-10-17 23:00:00,0.6257,20221200,0.625,20221100,0.6257,20221200
2022-10-24 23:00:00,0.6303,20221200,0.6297,20221100,0.6303,20221200
2022-10-27 23:00:00,,20221200,0.6463,20221100,,20221200
2022-10-31 23:00:00,0.6404,20221200,0.6397,20221100,0.6404,20221200
2022-11-03 23:00:00,,20221200,0.6409999999999999,20221100,,20221200
2022-11-05 23:00:00,,20221200,0.6356,20221100,,20221200
2022-11-07 23:00:00,0.6473,20221200,0.6465,20221100,0.6473,20221200
2022-11-14 23:00:00,0.6684,20230100,0.6675,20221200,0.6684,20230100
2022-11-21 23:00:00,0.664,20230100,0.6631,20221200,0.664,20230100
2022-11-28 23:00:00,0.6731,20230100,0.6722,20221200,0.6731,20230100
2022-12-05 23:00:00,0.6815,20230100,0.6805,20221200,0.6815,20230100
2022-12-12 23:00:00,0.6794,20230200,0.6787,20230100,0.6794,20230200
2022-12-19 23:00:00,0.6733,20230200,0.6726,20230100,0.6733,20230200
2022-12-26 23:00:00,0.6735,20230200,0.6728,20230100,0.6735,20230200
2023-01-03 23:00:00,0.6708,20230200,0.6701,20230100,0.6708,20230200
2023-01-09 23:00:00,0.6922,20230200,0.6915,20230100,0.6922,20230200
2023-01-16 23:00:00,0.6987,20230300,0.698,20230200,0.6987,20230300
2023-01-23 23:00:00,0.7015,20230300,0.7008,20230200,0.7015,20230300
2023-01-30 23:00:00,0.7088,20230300,0.708,20230200,0.7088,20230300
2023-02-06 23:00:00,0.6902,20230300,0.6895,20230200,0.6902,20230300
2023-02-13 23:00:00,0.6943,20230400,0.6935,20230300,0.6943,20230400
2023-02-20 23:00:00,0.6920000000000001,20230400,0.6911,20230300,0.6920000000000001,20230400
2023-02-27 23:00:00,0.6727,20230400,0.6718,20230300,0.6727,20230400
2023-03-06 23:00:00,0.6732,20230400,0.6724,20230300,0.6732,20230400
2023-03-13 23:00:00,0.6649,20230500,0.6642,20230400,0.6649,20230500
2023-03-20 23:00:00,0.6702,20230500,0.6696,20230400,0.6702,20230500
2023-03-27 23:00:00,0.6663,20230500,0.6656,20230400,0.6663,20230500
2023-04-03 23:00:00,0.6753,20230500,0.6746,20230400,0.6753,20230500
2023-04-10 23:00:00,0.6666,20230500,0.6659,20230400,0.6666,20230500
2023-04-17 23:00:00,0.6723,20230600,0.6713,20230500,0.6723,20230600
2023-04-24 23:00:00,0.6697,20230600,0.6687,20230500,0.6697,20230600
2023-05-01 23:00:00,0.6648,20230600,0.6637,20230500,0.6648,20230600
2023-05-03 09:00:00,0.6698,20230600,,20230500,0.6698,20230600
2023-05-03 10:00:00,0.6698,20230600,,20230500,0.6698,20230600
2023-05-03 11:00:00,0.6698,20230600,,20230500,0.6698,20230600
2023-05-03 12:00:00,0.6698,20230600,,20230500,0.6698,20230600
2023-05-03 23:00:00,0.6698,20230600,,20230500,0.6698,20230600
2023-05-08 23:00:00,0.6804,20230600,0.6795,20230500,0.6804,20230600
2023-05-10 12:00:00,,20230700,0.6741,20230600,,20230700
2023-05-10 12:50:00,,20230700,0.674,20230600,,20230700
2023-05-10 13:00:00,,20230700,0.674,20230600,,20230700
2023-05-10 14:00:00,,20230700,0.674,20230600,,20230700
2023-05-10 15:00:00,,20230700,0.674,20230600,,20230700
2023-05-10 16:00:00,,20230700,0.674,20230600,,20230700
2023-05-10 17:00:00,,20230700,0.674,20230600,,20230700
2023-05-10 18:00:00,,20230700,0.674,20230600,,20230700
2023-05-10 19:00:00,,20230700,0.674,20230600,,20230700
2023-05-10 20:00:00,,20230700,0.674,20230600,,20230700
2023-05-10 21:00:00,,20230700,0.674,20230600,,20230700
2023-05-10 22:00:00,,20230700,0.674,20230600,,20230700
2023-05-10 23:00:00,,20230700,0.6741,20230600,,20230700
2023-05-11 23:00:00,,20230700,0.674,20230600,,20230700
2023-05-15 23:00:00,0.6702,20230700,0.6695,20230600,0.6702,20230700
2023-05-18 23:00:00,,20230700,0.6646,20230600,,20230700
2023-05-22 23:00:00,0.6653,20230700,0.6646,20230600,0.6653,20230700
2023-05-23 23:00:00,,20230700,0.663,20230600,,20230700
2023-05-24 23:00:00,,20230700,0.6578,20230600,,20230700
2023-05-25 23:00:00,,20230700,0.653,20230600,,20230700
2023-05-29 23:00:00,0.6556,20230700,0.6548,20230600,0.6556,20230700
2023-05-30 23:00:00,,20230700,0.6549,20230600,,20230700
2023-05-31 23:00:00,,20230700,0.6486,20230600,,20230700
2023-06-01 23:00:00,,20230700,0.6525,20230600,,20230700
2023-06-05 23:00:00,0.6594,20230700,0.6587,20230600,0.6594,20230700
2023-06-12 23:00:00,0.6777,20230800,0.6771,20230700,0.6777,20230800
2023-06-19 23:00:00,0.6854,20230800,0.6849,20230700,0.6854,20230800
2023-06-26 23:00:00,0.6683,20230800,0.6678,20230700,0.6683,20230800
2023-07-03 23:00:00,0.6658,20230800,0.6653,20230700,0.6658,20230800
2023-07-10 23:00:00,0.6653,20230800,0.6648,20230700,0.6653,20230800
2023-07-10 23:00:01,0.6661,20230900,0.6653,20230800,0.6661,20230900
2023-07-17 23:00:00,0.6829,20230900,0.6821,20230800,0.6829,20230900
2023-07-24 23:00:00,0.6766,20230900,0.6759,20230800,0.6766,20230900
