DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1995-11-27 23:00:00,1.0195,19960300,1.0243,19960200,1.0195,19960300
1995-11-28 23:00:00,1.0185,19960300,1.0241,19960200,1.0185,19960300
1995-11-29 23:00:00,1.0183,19960300,1.0241,19960200,1.0183,19960300
1995-11-30 23:00:00,1.0171,19960300,1.023,19960200,1.0171,19960300
1995-12-01 23:00:00,1.0177,19960300,1.0235,19960200,1.0177,19960300
1995-12-04 23:00:00,1.0169,19960300,1.0229,19960200,1.0169,19960300
1995-12-05 23:00:00,1.0156,19960300,1.0226,19960200,1.0156,19960300
1995-12-06 23:00:00,1.0163,19960300,1.0226,19960200,1.0163,19960300
1995-12-07 23:00:00,1.0162,19960300,1.0223,19960200,1.0162,19960300
1995-12-08 23:00:00,1.016,19960300,1.0223,19960200,1.016,19960300
1995-12-11 23:00:00,1.016,19960300,1.0223,19960200,1.016,19960300
1995-12-12 23:00:00,1.0158,19960300,1.0223,19960200,1.0158,19960300
1995-12-13 23:00:00,1.0156,19960300,1.0219,19960200,1.0156,19960300
1995-12-14 23:00:00,1.0148,19960300,1.0212,19960200,1.0148,19960300
1995-12-15 23:00:00,1.0148,19960300,1.0215,19960200,1.0148,19960300
1995-12-18 23:00:00,1.0157,19960300,1.0222,19960200,1.0157,19960300
1995-12-19 23:00:00,1.0159,19960300,1.0221,19960200,1.0159,19960300
1995-12-20 23:00:00,1.0161,19960300,1.0224,19960200,1.0161,19960300
1995-12-21 23:00:00,1.0165,19960300,1.023,19960200,1.0165,19960300
1995-12-22 23:00:00,1.0169,19960300,1.0232,19960200,1.0169,19960300
1995-12-26 23:00:00,1.0107,19960400,1.0165,19960300,1.0107,19960400
1995-12-27 23:00:00,1.0105,19960400,1.0165,19960300,1.0105,19960400
1995-12-28 23:00:00,1.009,19960400,1.015,19960300,1.009,19960400
1995-12-29 23:00:00,1.009,19960400,1.015,19960300,1.009,19960400
1996-01-02 23:00:00,1.009,19960400,1.0152,19960300,1.009,19960400
1996-01-03 23:00:00,1.009,19960400,1.0153,19960300,1.009,19960400
1996-01-04 23:00:00,1.0089,19960400,1.0152,19960300,1.0089,19960400
1996-01-05 23:00:00,1.0089,19960400,1.0154,19960300,1.0089,19960400
1996-01-08 23:00:00,1.0091,19960400,1.0154,19960300,1.0091,19960400
1996-01-09 23:00:00,1.0091,19960400,1.0155,19960300,1.0091,19960400
1996-01-10 23:00:00,1.0088,19960400,1.0151,19960300,1.0088,19960400
1996-01-11 23:00:00,1.0083,19960400,1.0149,19960300,1.0083,19960400
1996-01-12 23:00:00,1.0087,19960400,1.015,19960300,1.0087,19960400
1996-01-15 23:00:00,1.009,19960400,1.0154,19960300,1.009,19960400
1996-01-16 23:00:00,1.0096,19960400,1.0158,19960300,1.0096,19960400
1996-01-17 23:00:00,1.0096,19960400,1.0157,19960300,1.0096,19960400
1996-01-18 23:00:00,1.0096,19960400,1.0157,19960300,1.0096,19960400
1996-01-19 23:00:00,1.009,19960400,1.0161,19960300,1.009,19960400
1996-01-22 23:00:00,1.0101,19960400,1.0163,19960300,1.0101,19960400
1996-01-23 23:00:00,1.0098,19960400,1.016,19960300,1.0098,19960400
1996-01-24 23:00:00,1.0083,19960400,1.0149,19960300,1.0083,19960400
1996-01-25 23:00:00,1.0086,19960400,1.0153,19960300,1.0086,19960400
1996-01-26 23:00:00,1.0068,19960400,1.0138,19960300,1.0068,19960400
1996-01-29 23:00:00,0.9997,19960500,1.0065,19960400,0.9997,19960500
1996-01-30 23:00:00,,19960500,1.0076,19960400,,19960500
1996-01-31 23:00:00,0.9995,19960500,1.0062,19960400,0.9995,19960500
1996-02-01 23:00:00,0.9985,19960500,1.0066,19960400,0.9985,19960500
1996-02-02 23:00:00,0.9988,19960500,1.007,19960400,0.9988,19960500
1996-02-05 23:00:00,0.9999,19960500,1.0073,19960400,0.9999,19960500
1996-02-06 23:00:00,0.9998,19960500,1.0071,19960400,0.9998,19960500
1996-02-07 23:00:00,0.9999,19960500,1.0072,19960400,0.9999,19960500
1996-02-08 23:00:00,1.0007,19960500,1.0078,19960400,1.0007,19960500
1996-02-09 23:00:00,1.001,19960500,1.0078,19960400,1.001,19960500
1996-02-12 23:00:00,1.0017,19960500,1.0086,19960400,1.0017,19960500
1996-02-13 23:00:00,1.0024,19960500,1.0087,19960400,1.0024,19960500
1996-02-14 23:00:00,1.0023,19960500,1.0087,19960400,1.0023,19960500
1996-02-15 23:00:00,1.0026,19960500,1.0087,19960400,1.0026,19960500
1996-02-16 23:00:00,1.0027,19960500,1.0089,19960400,1.0027,19960500
1996-02-20 23:00:00,1.0027,19960500,1.0089,19960400,1.0027,19960500
1996-02-21 23:00:00,1.0027,19960500,1.0089,19960400,1.0027,19960500
1996-02-22 23:00:00,1.0033,19960500,1.0093,19960400,1.0033,19960500
1996-02-23 23:00:00,1.0043,19960500,1.0102,19960400,1.0043,19960500
1996-02-26 23:00:00,0.9985,19960600,1.0038,19960500,0.9985,19960600
1996-02-27 23:00:00,0.9978,19960600,1.0033,19960500,0.9978,19960600
1996-02-28 23:00:00,0.9982,19960600,1.0039,19960500,0.9982,19960600
1996-02-29 23:00:00,0.9965,19960600,1.0027,19960500,0.9965,19960600
1996-03-01 23:00:00,0.996,19960600,1.0025,19960500,0.996,19960600
1996-03-04 23:00:00,0.9975,19960600,1.0035,19960500,0.9975,19960600
1996-03-05 23:00:00,0.9973,19960600,1.0033,19960500,0.9973,19960600
1996-03-06 23:00:00,0.9965,19960600,1.003,19960500,0.9965,19960600
1996-03-07 23:00:00,0.9965,19960600,1.0028,19960500,0.9965,19960600
1996-03-08 23:00:00,0.9971,19960600,1.0033,19960500,0.9971,19960600
1996-03-11 23:00:00,0.997,19960600,1.0032,19960500,0.997,19960600
1996-03-12 23:00:00,0.9974,19960600,1.0035,19960500,0.9974,19960600
1996-03-13 23:00:00,0.9974,19960600,1.0035,19960500,0.9974,19960600
1996-03-14 23:00:00,0.9974,19960600,1.0035,19960500,0.9974,19960600
1996-03-15 23:00:00,0.997,19960600,1.0035,19960500,0.997,19960600
1996-03-18 23:00:00,0.997,19960600,1.0032,19960500,0.997,19960600
1996-03-19 23:00:00,0.997,19960600,1.0033,19960500,0.997,19960600
1996-03-20 23:00:00,0.997,19960600,1.0035,19960500,0.997,19960600
1996-03-21 23:00:00,0.9972,19960600,1.0036,19960500,0.9972,19960600
1996-03-22 23:00:00,0.9975,19960600,1.0038,19960500,0.9975,19960600
1996-03-25 23:00:00,0.9975,19960600,1.0039,19960500,0.9975,19960600
1996-03-26 23:00:00,0.9915,19960700,0.9978,19960600,0.9915,19960700
1996-03-27 23:00:00,0.993,19960700,0.9978,19960600,0.993,19960700
1996-03-28 23:00:00,0.993,19960700,0.999,19960600,0.993,19960700
1996-03-29 23:00:00,0.9951,19960700,1.0,19960600,0.9951,19960700
1996-04-01 23:00:00,0.996,19960700,1.0015,19960600,0.996,19960700
1996-04-02 23:00:00,0.9961,19960700,1.0015,19960600,0.9961,19960700
1996-04-03 23:00:00,0.997,19960700,1.0022,19960600,0.997,19960700
1996-04-04 23:00:00,0.997,19960700,1.0022,19960600,0.997,19960700
1996-04-05 23:00:00,0.997,19960700,1.0022,19960600,0.997,19960700
1996-04-08 23:00:00,0.997,19960700,1.002,19960600,0.997,19960700
1996-04-09 23:00:00,0.997,19960700,1.002,19960600,0.997,19960700
1996-04-10 23:00:00,0.9973,19960700,1.0022,19960600,0.9973,19960700
1996-04-11 23:00:00,0.9973,19960700,1.0022,19960600,0.9973,19960700
1996-04-12 23:00:00,0.9973,19960700,1.0024,19960600,0.9973,19960700
1996-04-15 23:00:00,0.9973,19960700,1.002,19960600,0.9973,19960700
1996-04-16 23:00:00,0.9974,19960700,1.0023,19960600,0.9974,19960700
1996-04-17 23:00:00,0.9978,19960700,1.0027,19960600,0.9978,19960700
1996-04-18 23:00:00,0.9978,19960700,1.0025,19960600,0.9978,19960700
1996-04-19 23:00:00,0.9978,19960700,1.0023,19960600,0.9978,19960700
