DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2008-12-22 23:00:00,43.93,20090300,45.85,20090400,47.41,20090500
2008-12-23 23:00:00,42.82,20090300,44.73,20090400,46.25,20090500
2008-12-24 23:00:00,39.17,20090300,41.18,20090400,42.74,20090500
2008-12-26 23:00:00,41.0,20090300,43.01,20090400,44.57,20090500
2008-12-29 23:00:00,43.2,20090300,45.3,20090400,46.99,20090500
2008-12-30 23:00:00,42.92,20090300,45.12,20090400,46.88,20090500
2008-12-31 23:00:00,48.82,20090300,51.27,20090400,53.07,20090500
2009-01-02 23:00:00,49.8,20090300,52.06,20090400,53.82,20090500
2009-01-05 23:00:00,52.4,20090300,54.52,20090400,56.13,20090500
2009-01-06 23:00:00,53.27,20090300,55.36,20090400,56.87,20090500
2009-01-07 23:00:00,48.67,20090300,50.92,20090400,52.6,20090500
2009-01-08 23:00:00,47.55,20090300,50.02,20090400,51.86,20090500
2009-01-09 23:00:00,47.24,20090300,49.74,20090400,51.62,20090500
2009-01-12 23:00:00,45.52,20090300,47.9,20090400,49.73,20090500
2009-01-13 23:00:00,47.44,20090300,49.73,20090400,51.51,20090500
2009-01-14 23:00:00,47.62,20090300,49.9,20090400,51.71,20090500
2009-01-15 23:00:00,47.68,20090300,49.91,20090400,51.79,20090500
2009-01-16 23:00:00,46.57,20090300,48.68,20090400,50.54,20090500
2009-01-19 23:00:00,44.5,20090300,46.31,20090400,47.99,20090500
2009-01-20 23:00:00,45.43,20090400,47.13,20090500,48.65,20090600
2009-01-21 23:00:00,46.59,20090400,47.99,20090500,49.21,20090600
2009-01-22 23:00:00,47.15,20090400,48.68,20090500,49.89,20090600
2009-01-23 23:00:00,50.06,20090400,51.47,20090500,52.59,20090600
2009-01-26 23:00:00,48.83,20090400,50.4,20090500,51.55,20090600
2009-01-27 23:00:00,45.96,20090400,47.85,20090500,49.25,20090600
2009-01-28 23:00:00,47.14,20090400,49.08,20090500,50.57,20090600
2009-01-29 23:00:00,47.36,20090400,49.18,20090500,50.64,20090600
2009-01-30 23:00:00,47.7,20090400,49.37,20090500,50.72,20090600
2009-02-02 23:00:00,45.55,20090400,47.04,20090500,48.23,20090600
2009-02-03 23:00:00,45.69,20090400,47.1,20090500,48.24,20090600
2009-02-04 23:00:00,46.09,20090400,47.79,20090500,49.08,20090600
2009-02-05 23:00:00,48.15,20090400,49.73,20090500,50.95,20090600
