DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-09-07 23:00:00,112.43,20230300,113.0,20221200,112.43,20230300
2022-09-08 23:00:00,112.55,20230300,113.12,20221200,112.55,20230300
2022-09-09 23:00:00,111.39,20230300,111.96,20221200,111.39,20230300
2022-09-12 23:00:00,111.75,20230300,112.32,20221200,111.75,20230300
2022-09-13 23:00:00,111.36,20230300,111.93,20221200,111.36,20230300
2022-09-14 23:00:00,111.22,20230300,111.79,20221200,111.22,20230300
2022-09-15 23:00:00,110.95,20230300,111.52,20221200,110.95,20230300
2022-09-16 23:00:00,110.69,20230300,111.26,20221200,110.69,20230300
2022-09-19 23:00:00,110.76,20230300,111.33,20221200,110.76,20230300
2022-09-20 23:00:00,109.99,20230300,110.56,20221200,109.99,20230300
2022-09-21 23:00:00,110.08,20230300,110.65,20221200,110.08,20230300
2022-09-22 23:00:00,109.78,20230300,110.35,20221200,109.78,20230300
2022-09-23 23:00:00,108.79,20230300,109.36,20221200,108.79,20230300
2022-09-26 23:00:00,108.01,20230300,108.58,20221200,108.01,20230300
2022-09-27 23:00:00,107.19,20230300,107.76,20221200,107.19,20230300
2022-09-28 23:00:00,107.89,20230300,108.46,20221200,107.89,20230300
2022-09-29 23:00:00,107.8,20230300,108.37,20221200,107.8,20230300
2022-09-30 23:00:00,108.38,20230300,108.95,20221200,108.38,20230300
2022-10-03 23:00:00,110.05,20230300,110.62,20221200,110.05,20230300
2022-10-04 23:00:00,110.41,20230300,110.98,20221200,110.41,20230300
2022-10-05 23:00:00,109.2,20230300,109.77,20221200,109.2,20230300
2022-10-06 23:00:00,108.65,20230300,109.22,20221200,108.65,20230300
2022-10-07 23:00:00,107.71,20230300,108.28,20221200,107.71,20230300
2022-10-10 23:00:00,108.35,20230300,108.92,20221200,108.35,20230300
2022-10-11 23:00:00,108.08,20230300,108.65,20221200,108.08,20230300
2022-10-12 23:00:00,107.66,20230300,108.23,20221200,107.66,20230300
2022-10-13 23:00:00,108.06,20230300,108.63,20221200,108.06,20230300
2022-10-14 23:00:00,107.96,20230300,108.53,20221200,107.96,20230300
2022-10-17 23:00:00,108.11,20230300,108.68,20221200,108.11,20230300
2022-10-18 23:00:00,108.44,20230300,109.01,20221200,108.44,20230300
2022-10-19 23:00:00,107.71,20230300,108.28,20221200,107.71,20230300
2022-10-20 23:00:00,107.77,20230300,108.34,20221200,107.77,20230300
2022-10-21 23:00:00,107.65,20230300,108.22,20221200,107.65,20230300
