DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-03-14 23:00:00,91.49,20220900,91.89,20220600,91.49,20220900
2022-03-15 23:00:00,91.98,20220900,92.38,20220600,91.98,20220900
2022-03-16 23:00:00,92.7,20220900,93.11,20220600,92.7,20220900
2022-03-17 23:00:00,93.23,20220900,93.63,20220600,93.23,20220900
2022-03-18 23:00:00,93.97,20220900,94.37,20220600,93.97,20220900
2022-03-21 23:00:00,94.25,20220900,94.68,20220600,94.25,20220900
2022-03-22 23:00:00,95.32,20220900,95.75,20220600,95.32,20220900
2022-03-23 23:00:00,95.76,20220900,96.2,20220600,95.76,20220900
2022-03-24 23:00:00,96.8,20220900,97.25,20220600,96.8,20220900
2022-03-25 23:00:00,97.23,20220900,97.72,20220600,97.23,20220900
2022-03-28 23:00:00,97.96,20220900,98.46,20220600,97.96,20220900
2022-03-29 23:00:00,97.67,20220900,98.17,20220600,97.67,20220900
2022-03-30 23:00:00,96.88,20220900,97.37,20220600,96.88,20220900
2022-03-31 23:00:00,96.74,20220900,97.23,20220600,96.74,20220900
2022-04-01 23:00:00,97.31,20220900,97.81,20220600,97.31,20220900
2022-04-04 23:00:00,97.66,20220900,98.16,20220600,97.66,20220900
2022-04-05 23:00:00,98.4,20220900,98.91,20220600,98.4,20220900
2022-04-06 23:00:00,98.1,20220900,98.63,20220600,98.1,20220900
2022-04-07 23:00:00,97.85,20220900,98.37,20220600,97.85,20220900
2022-04-08 23:00:00,98.21,20220900,98.75,20220600,98.21,20220900
2022-04-11 23:00:00,98.66,20220900,99.2,20220600,98.66,20220900
2022-04-12 23:00:00,98.44,20220900,98.97,20220600,98.44,20220900
2022-04-13 23:00:00,99.2,20220900,99.74,20220600,99.2,20220900
2022-04-14 23:00:00,99.18,20220900,99.73,20220600,99.18,20220900
2022-04-18 23:00:00,99.91,20220900,100.46,20220600,99.91,20220900
2022-04-19 23:00:00,101.21,20220900,101.79,20220600,101.21,20220900
2022-04-20 23:00:00,101.42,20220900,102.0,20220600,101.42,20220900
2022-04-21 23:00:00,101.18,20220900,101.78,20220600,101.18,20220900
2022-04-22 23:00:00,100.27,20220900,100.91,20220600,100.27,20220900
2022-04-25 23:00:00,99.8,20220900,100.4,20220600,99.8,20220900
2022-04-26 23:00:00,98.91,20220900,99.5,20220600,98.91,20220900
2022-04-27 23:00:00,99.26,20220900,99.85,20220600,99.26,20220900
2022-04-28 23:00:00,101.46,20220900,102.06,20220600,101.46,20220900
2022-04-29 23:00:00,100.12,20220900,100.72,20220600,100.12,20220900
2022-05-02 23:00:00,100.07,20220900,100.68,20220600,100.07,20220900
2022-05-03 23:00:00,100.61,20220900,101.22,20220600,100.61,20220900
2022-05-04 23:00:00,100.26,20220900,100.85,20220600,100.26,20220900
2022-05-05 23:00:00,100.71,20220900,101.29,20220600,100.71,20220900
2022-05-06 23:00:00,100.48,20220900,101.06,20220600,100.48,20220900
2022-05-09 23:00:00,99.64,20220900,100.21,20220600,99.64,20220900
2022-05-10 23:00:00,99.44,20220900,100.0,20220600,99.44,20220900
2022-05-11 23:00:00,99.27,20220900,99.83,20220600,99.27,20220900
2022-05-12 23:00:00,97.3,20220900,97.86,20220600,97.3,20220900
2022-05-13 23:00:00,99.38,20220900,99.93,20220600,99.38,20220900
2022-05-16 23:00:00,99.9,20220900,100.45,20220600,99.9,20220900
2022-05-17 23:00:00,100.23,20220900,100.79,20220600,100.23,20220900
2022-05-18 23:00:00,98.82,20220900,99.39,20220600,98.82,20220900
2022-05-19 23:00:00,99.16,20220900,99.73,20220600,99.16,20220900
2022-05-20 23:00:00,98.82,20220900,99.38,20220600,98.82,20220900
2022-05-23 23:00:00,99.43,20220900,99.99,20220600,99.43,20220900
2022-05-24 23:00:00,98.17,20220900,98.72,20220600,98.17,20220900
2022-05-25 23:00:00,98.76,20220900,99.31,20220600,98.76,20220900
2022-05-26 23:00:00,98.96,20220900,99.52,20220600,98.96,20220900
2022-05-27 23:00:00,99.27,20220900,99.82,20220600,99.27,20220900
2022-05-30 23:00:00,99.27,20220900,99.82,20220600,99.27,20220900
2022-05-31 23:00:00,101.12,20220900,101.68,20220600,101.12,20220900
2022-06-01 23:00:00,102.39,20220900,102.97,20220600,102.39,20220900
2022-06-02 23:00:00,102.63,20220900,103.21,20220600,102.63,20220900
2022-06-03 23:00:00,103.33,20220900,103.92,20220600,103.33,20220900
2022-06-06 23:00:00,104.33,20220900,104.95,20220600,104.33,20220900
2022-06-07 23:00:00,105.18,20220900,105.79,20220600,105.18,20220900
2022-06-08 23:00:00,106.22,20220900,106.84,20220600,106.22,20220900
2022-06-09 23:00:00,105.25,20220900,105.85,20220600,105.25,20220900
2022-06-10 23:00:00,104.7,20220900,105.3,20220600,104.7,20220900
2022-06-13 23:00:00,103.66,20220900,104.16,20220600,103.66,20220900
2022-06-14 23:00:00,102.76,20221200,103.68,20220900,102.76,20221200
2022-06-15 23:00:00,102.11,20221200,102.98,20220900,102.11,20221200
2022-06-16 23:00:00,100.64,20221200,101.49,20220900,100.64,20221200
2022-06-17 23:00:00,102.15,20221200,103.02,20220900,102.15,20221200
2022-06-20 23:00:00,102.15,20221200,103.02,20220900,102.15,20221200
2022-06-21 23:00:00,104.1,20221200,105.02,20220900,104.1,20221200
2022-06-22 23:00:00,103.85,20221200,104.76,20220900,103.85,20221200
2022-06-23 23:00:00,102.33,20221200,103.21,20220900,102.33,20221200
2022-06-24 23:00:00,103.21,20221200,104.08,20220900,103.21,20221200
2022-06-27 23:00:00,103.69,20221200,104.58,20220900,103.69,20221200
2022-06-28 23:00:00,104.43,20221200,105.33,20220900,104.43,20221200
2022-06-29 23:00:00,104.4,20221200,105.31,20220900,104.4,20221200
2022-06-30 23:00:00,103.89,20221200,104.78,20220900,103.89,20221200
2022-07-01 23:00:00,103.55,20221200,104.42,20220900,103.55,20221200
2022-07-04 23:00:00,103.55,20221200,104.42,20220900,103.55,20221200
2022-07-05 23:00:00,102.56,20221200,103.44,20220900,102.56,20221200
2022-07-06 23:00:00,102.83,20221200,103.73,20220900,102.83,20221200
2022-07-07 23:00:00,103.45,20221200,104.35,20220900,103.45,20221200
2022-07-08 23:00:00,103.69,20221200,104.6,20220900,103.69,20221200
2022-07-11 23:00:00,104.27,20221200,105.2,20220900,104.27,20221200
