DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1993-08-13 05:00:00,94.88,19930900,94.57,19931200,,19940300
1993-08-16 05:00:00,95.21,19930900,94.84,19931200,,19940300
1993-08-17 05:00:00,95.3,19930900,94.86,19931200,,19940300
1993-08-18 05:00:00,95.03,19930900,94.68,19931200,,19940300
1993-08-19 05:00:00,95.32,19930900,94.99,19931200,,19940300
1993-08-20 05:00:00,,19930900,94.91,19931200,,19940300
1993-08-23 05:00:00,,19930900,94.88,19931200,,19940300
1993-08-24 05:00:00,,19930900,94.98,19931200,,19940300
1993-08-25 05:00:00,,19930900,95.05,19931200,,19940300
1993-08-26 05:00:00,,19930900,95.0,19931200,,19940300
1993-08-27 05:00:00,,19930900,94.94,19931200,,19940300
1993-08-30 05:00:00,,19930900,94.89,19931200,,19940300
1993-08-31 05:00:00,,19930900,94.88,19931200,,19940300
1993-09-01 05:00:00,,19930900,94.68,19931200,,19940300
1993-09-02 05:00:00,,19930900,94.74,19931200,,19940300
1993-09-03 05:00:00,,19930900,94.76,19931200,,19940300
1993-09-07 05:00:00,,19930900,94.81,19931200,,19940300
1993-09-08 05:00:00,,19930900,94.77,19931200,,19940300
1993-09-09 05:00:00,,19930900,94.77,19931200,,19940300
1993-09-10 05:00:00,,19930900,94.82,19931200,,19940300
1993-09-13 05:00:00,,19930900,94.76,19931200,,19940300
1993-09-14 05:00:00,,19930900,94.5,19931200,,19940300
1993-09-15 05:00:00,,19930900,94.67,19931200,,19940300
1993-09-16 05:00:00,,19930900,94.72,19931200,,19940300
1993-09-17 05:00:00,,19930900,94.71,19931200,,19940300
1993-09-20 05:00:00,,19930900,94.61,19931200,,19940300
1993-09-21 05:00:00,,19930900,94.68,19931200,,19940300
1993-09-22 05:00:00,,19930900,94.73,19931200,,19940300
1993-09-23 05:00:00,,19930900,94.67,19931200,,19940300
1993-09-24 05:00:00,,19930900,94.69,19931200,,19940300
1993-09-27 05:00:00,,19930900,94.6,19931200,,19940300
1993-09-28 05:00:00,,19930900,94.67,19931200,,19940300
1993-09-29 05:00:00,,19930900,94.61,19931200,,19940300
1993-09-30 05:00:00,,19930900,94.59,19931200,,19940300
1993-10-01 05:00:00,,19930900,94.64,19931200,,19940300
1993-10-04 05:00:00,,19930900,94.65,19931200,,19940300
1993-10-05 05:00:00,,19930900,94.78,19931200,,19940300
1993-10-06 05:00:00,,19930900,95.03,19931200,,19940300
1993-10-07 05:00:00,,19930900,95.02,19931200,,19940300
1993-10-08 05:00:00,,19930900,95.12,19931200,,19940300
1993-10-12 05:00:00,,19930900,95.11,19931200,,19940300
1993-10-13 05:00:00,,19930900,95.05,19931200,,19940300
1993-10-14 05:00:00,,19930900,95.14,19931200,,19940300
1993-10-15 05:00:00,,19930900,95.13,19931200,,19940300
1993-10-18 05:00:00,,19930900,95.12,19931200,,19940300
