DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-06-10 23:00:00,8.83,20220800,8.57,20220700,8.83,20220800
2022-06-13 23:00:00,8.94,20220800,8.64,20220700,8.94,20220800
2022-06-14 23:00:00,8.98,20220800,8.66,20220700,8.98,20220800
2022-06-15 23:00:00,8.98,20220800,8.61,20220700,8.98,20220800
2022-06-16 23:00:00,8.89,20220800,8.54,20220700,8.89,20220800
2022-06-17 23:00:00,8.91,20220800,8.56,20220700,8.91,20220800
2022-06-20 23:00:00,8.88,20220800,8.51,20220700,8.88,20220800
2022-06-21 23:00:00,8.95,20220800,8.67,20220700,8.95,20220800
2022-06-22 23:00:00,9.01,20220800,8.65,20220700,9.01,20220800
2022-06-23 23:00:00,8.88,20220800,8.6,20220700,8.88,20220800
2022-06-24 23:00:00,9.01,20220800,8.64,20220700,9.01,20220800
2022-06-27 23:00:00,9.03,20220800,8.64,20220700,9.03,20220800
2022-06-28 23:00:00,9.06,20220800,8.61,20220700,9.06,20220800
2022-06-29 23:00:00,9.05,20220800,8.61,20220700,9.05,20220800
2022-06-30 23:00:00,9.0,20220800,8.6,20220700,9.0,20220800
2022-07-01 23:00:00,9.01,20220800,8.6,20220700,9.01,20220800
2022-07-04 23:00:00,8.98,20220800,8.58,20220700,8.98,20220800
2022-07-05 23:00:00,8.99,20220800,8.6,20220700,8.99,20220800
2022-07-06 23:00:00,9.0,20220800,8.59,20220700,9.0,20220800
2022-07-07 23:00:00,9.05,20220800,8.6,20220700,9.05,20220800
2022-07-08 23:00:00,9.08,20220800,8.59,20220700,9.08,20220800
2022-07-11 23:00:00,9.4,20220900,9.06,20220800,9.4,20220900
2022-07-12 23:00:00,9.43,20220900,9.16,20220800,9.43,20220900
2022-07-13 23:00:00,9.47,20220900,9.19,20220800,9.47,20220900
2022-07-14 23:00:00,9.47,20220900,9.22,20220800,9.47,20220900
2022-07-15 23:00:00,9.48,20220900,9.2,20220800,9.48,20220900
2022-07-18 23:00:00,9.47,20220900,9.17,20220800,9.47,20220900
2022-07-19 23:00:00,9.48,20220900,9.15,20220800,9.48,20220900
2022-07-20 23:00:00,9.49,20220900,9.16,20220800,9.49,20220900
2022-07-21 23:00:00,9.44,20220900,9.16,20220800,9.44,20220900
2022-07-22 23:00:00,9.44,20220900,9.2,20220800,9.44,20220900
2022-07-25 23:00:00,9.37,20220900,9.1,20220800,9.37,20220900
2022-07-26 23:00:00,9.29,20220900,9.04,20220800,9.29,20220900
2022-07-27 23:00:00,9.3,20220900,9.0,20220800,9.3,20220900
2022-07-28 23:00:00,9.28,20220900,8.95,20220800,9.28,20220900
2022-07-29 23:00:00,9.26,20220900,8.94,20220800,9.26,20220900
2022-08-01 23:00:00,9.25,20220900,8.91,20220800,9.25,20220900
2022-08-02 23:00:00,9.31,20220900,8.9,20220800,9.31,20220900
2022-08-03 23:00:00,9.31,20220900,8.89,20220800,9.31,20220900
2022-08-04 23:00:00,9.3,20220900,8.87,20220800,9.3,20220900
2022-08-05 23:00:00,9.29,20220900,8.84,20220800,9.29,20220900
2022-08-08 23:00:00,9.21,20220900,8.84,20220800,9.21,20220900
2022-08-09 23:00:00,9.27,20220900,8.91,20220800,9.27,20220900
2022-08-10 23:00:00,9.54,20221000,9.31,20220900,9.54,20221000
2022-08-11 23:00:00,9.54,20221000,9.34,20220900,9.54,20221000
2022-08-12 23:00:00,9.56,20221000,9.35,20220900,9.56,20221000
2022-08-15 23:00:00,9.58,20221000,9.32,20220900,9.58,20221000
2022-08-16 23:00:00,9.66,20221000,9.44,20220900,9.66,20221000
2022-08-17 23:00:00,9.65,20221000,9.49,20220900,9.65,20221000
2022-08-18 23:00:00,9.64,20221000,9.5,20220900,9.64,20221000
2022-08-19 23:00:00,9.67,20221000,9.51,20220900,9.67,20221000
2022-08-22 23:00:00,9.63,20221000,9.5,20220900,9.63,20221000
2022-08-23 23:00:00,9.63,20221000,9.54,20220900,9.63,20221000
2022-08-24 23:00:00,9.64,20221000,9.54,20220900,9.64,20221000
2022-08-25 23:00:00,9.71,20221000,9.54,20220900,9.71,20221000
2022-08-26 23:00:00,9.74,20221000,9.57,20220900,9.74,20221000
2022-08-29 23:00:00,9.78,20221000,9.55,20220900,9.78,20221000
2022-08-30 23:00:00,9.85,20221000,9.57,20220900,9.85,20221000
2022-08-31 23:00:00,9.87,20221000,9.52,20220900,9.87,20221000
2022-09-01 23:00:00,9.88,20221000,9.56,20220900,9.88,20221000
2022-09-02 23:00:00,9.86,20221000,9.54,20220900,9.86,20221000
2022-09-05 23:00:00,9.89,20221000,9.57,20220900,9.89,20221000
2022-09-06 23:00:00,9.97,20221000,9.59,20220900,9.97,20221000
2022-09-07 23:00:00,9.93,20221000,9.55,20220900,9.93,20221000
2022-09-08 23:00:00,9.9,20221000,9.53,20220900,9.9,20221000
2022-09-09 23:00:00,9.89,20221000,9.49,20220900,9.89,20221000
2022-09-12 23:00:00,9.97,20221100,9.84,20221000,9.97,20221100
2022-09-13 23:00:00,10.06,20221100,9.93,20221000,10.06,20221100
2022-09-14 23:00:00,10.08,20221100,9.93,20221000,10.08,20221100
2022-09-15 23:00:00,10.18,20221100,9.92,20221000,10.18,20221100
2022-09-19 23:00:00,10.24,20221100,9.94,20221000,10.24,20221100
2022-09-20 23:00:00,10.2,20221100,9.99,20221000,10.2,20221100
2022-09-21 23:00:00,10.25,20221100,9.95,20221000,10.25,20221100
2022-09-22 23:00:00,10.22,20221100,9.96,20221000,10.22,20221100
2022-09-23 23:00:00,10.25,20221100,10.11,20221000,10.25,20221100
2022-09-26 23:00:00,10.39,20221100,10.16,20221000,10.39,20221100
2022-09-27 23:00:00,10.6,20221100,10.13,20221000,10.6,20221100
2022-09-28 23:00:00,10.55,20221100,10.15,20221000,10.55,20221100
2022-09-29 23:00:00,10.54,20221100,10.14,20221000,10.54,20221100
2022-09-30 23:00:00,10.51,20221100,10.14,20221000,10.51,20221100
2022-10-03 23:00:00,10.46,20221100,10.07,20221000,10.46,20221100
2022-10-04 23:00:00,10.4,20221100,9.88,20221000,10.4,20221100
2022-10-05 23:00:00,10.37,20221100,9.99,20221000,10.37,20221100
2022-10-06 23:00:00,10.38,20221100,10.0,20221000,10.38,20221100
2022-10-07 23:00:00,10.37,20221100,9.96,20221000,10.37,20221100
2022-10-10 23:00:00,10.39,20221100,9.99,20221000,10.39,20221100
2022-10-11 23:00:00,10.65,20221200,10.55,20221100,10.65,20221200
2022-10-12 23:00:00,10.6,20221200,10.55,20221100,10.6,20221200
2022-10-13 23:00:00,10.65,20221200,10.55,20221100,10.65,20221200
2022-10-14 23:00:00,10.62,20221200,10.49,20221100,10.62,20221200
2022-10-17 23:00:00,10.65,20221200,10.49,20221100,10.65,20221200
2022-10-18 23:00:00,10.65,20221200,10.59,20221100,10.65,20221200
2022-10-19 23:00:00,10.68,20221200,10.58,20221100,10.68,20221200
2022-10-20 23:00:00,10.68,20221200,10.6,20221100,10.68,20221200
2022-10-21 23:00:00,10.66,20221200,10.54,20221100,10.66,20221200
2022-10-24 23:00:00,10.64,20221200,10.5,20221100,10.64,20221200
2022-10-25 23:00:00,10.75,20221200,10.42,20221100,10.75,20221200
2022-10-26 23:00:00,10.7,20221200,10.38,20221100,10.7,20221200
2022-10-27 23:00:00,10.67,20221200,10.37,20221100,10.67,20221200
2022-10-28 23:00:00,10.67,20221200,10.37,20221100,10.67,20221200
2022-10-31 23:00:00,10.65,20221200,10.34,20221100,10.65,20221200
2022-11-01 23:00:00,10.65,20221200,10.34,20221100,10.65,20221200
2022-11-03 23:00:00,10.62,20221200,10.28,20221100,10.62,20221200
2022-11-04 23:00:00,10.61,20221200,10.36,20221100,10.61,20221200
2022-11-07 23:00:00,10.61,20221200,10.34,20221100,10.61,20221200
2022-11-08 23:00:00,10.58,20221200,10.3,20221100,10.58,20221200
2022-11-09 23:00:00,10.57,20221200,10.29,20221100,10.57,20221200
2022-11-10 23:00:00,10.54,20230100,10.52,20221200,10.54,20230100
2022-11-11 23:00:00,10.63,20230100,10.54,20221200,10.63,20230100
2022-11-14 23:00:00,10.62,20230100,10.54,20221200,10.62,20230100
2022-11-15 23:00:00,10.64,20230100,10.56,20221200,10.64,20230100
2022-11-16 23:00:00,10.69,20230100,10.6,20221200,10.69,20230100
2022-11-17 23:00:00,10.73,20230100,10.67,20221200,10.73,20230100
2022-11-18 23:00:00,10.76,20230100,10.72,20221200,10.76,20230100
2022-11-22 23:00:00,10.81,20230100,10.75,20221200,10.81,20230100
2022-11-23 23:00:00,10.94,20230100,10.76,20221200,10.94,20230100
2022-11-24 23:00:00,10.93,20230100,10.74,20221200,10.93,20230100
2022-11-25 23:00:00,10.95,20230100,10.79,20221200,10.95,20230100
2022-11-28 23:00:00,10.95,20230100,10.78,20221200,10.95,20230100
2022-11-29 23:00:00,10.99,20230100,10.78,20221200,10.99,20230100
2022-11-30 23:00:00,10.95,20230100,10.72,20221200,10.95,20230100
2022-12-01 23:00:00,10.91,20230100,10.68,20221200,10.91,20230100
2022-12-02 23:00:00,10.89,20230100,10.65,20221200,10.89,20230100
2022-12-05 23:00:00,10.91,20230100,10.66,20221200,10.91,20230100
2022-12-06 23:00:00,10.89,20230100,10.66,20221200,10.89,20230100
2022-12-07 23:00:00,10.88,20230100,10.64,20221200,10.88,20230100
2022-12-08 23:00:00,10.86,20230100,10.63,20221200,10.86,20230100
2022-12-09 23:00:00,10.86,20230100,10.61,20221200,10.86,20230100
2022-12-13 23:00:00,10.7,20230200,10.88,20230100,10.7,20230200
2022-12-14 23:00:00,10.74,20230200,10.89,20230100,10.74,20230200
2022-12-15 23:00:00,10.73,20230200,10.8,20230100,10.73,20230200
2022-12-16 23:00:00,10.73,20230200,10.83,20230100,10.73,20230200
2022-12-19 23:00:00,10.72,20230200,10.82,20230100,10.72,20230200
2022-12-20 23:00:00,10.76,20230200,10.85,20230100,10.76,20230200
2022-12-21 23:00:00,10.73,20230200,10.82,20230100,10.73,20230200
2022-12-22 23:00:00,10.7,20230200,10.84,20230100,10.7,20230200
2022-12-23 23:00:00,10.7,20230200,10.83,20230100,10.7,20230200
2022-12-26 23:00:00,10.71,20230200,10.82,20230100,10.71,20230200
2022-12-27 23:00:00,10.95,20230200,11.02,20230100,10.95,20230200
2022-12-28 23:00:00,10.94,20230200,10.98,20230100,10.94,20230200
2022-12-29 23:00:00,10.95,20230200,10.96,20230100,10.95,20230200
2022-12-30 23:00:00,10.94,20230200,10.91,20230100,10.94,20230200
2023-01-02 23:00:00,10.91,20230200,10.86,20230100,10.91,20230200
2023-01-03 23:00:00,10.89,20230200,10.8,20230100,10.89,20230200
2023-01-04 23:00:00,10.89,20230200,10.79,20230100,10.89,20230200
2023-01-05 23:00:00,10.91,20230200,10.8,20230100,10.91,20230200
2023-01-06 23:00:00,10.89,20230200,10.77,20230100,10.89,20230200
2023-01-09 23:00:00,10.88,20230200,10.77,20230100,10.88,20230200
2023-01-10 23:00:00,10.76,20230300,10.91,20230200,10.76,20230300
2023-01-11 23:00:00,10.8,20230300,10.9,20230200,10.8,20230300
2023-01-12 23:00:00,10.78,20230300,10.85,20230200,10.78,20230300
2023-01-13 23:00:00,10.78,20230300,10.84,20230200,10.78,20230300
2023-01-16 23:00:00,10.83,20230300,10.82,20230200,10.83,20230300
2023-01-17 23:00:00,10.83,20230300,10.79,20230200,10.83,20230300
2023-01-18 23:00:00,10.88,20230300,10.82,20230200,10.88,20230300
2023-01-19 23:00:00,10.89,20230300,10.83,20230200,10.89,20230300
2023-01-20 23:00:00,10.88,20230300,10.84,20230200,10.88,20230300
2023-01-23 23:00:00,10.88,20230300,10.87,20230200,10.88,20230300
2023-01-24 23:00:00,10.85,20230300,10.87,20230200,10.85,20230300
2023-01-25 23:00:00,10.93,20230300,10.92,20230200,10.93,20230300
2023-01-26 23:00:00,10.96,20230300,10.95,20230200,10.96,20230300
2023-01-27 23:00:00,10.95,20230300,10.94,20230200,10.95,20230300
2023-01-30 23:00:00,10.97,20230300,10.96,20230200,10.97,20230300
2023-01-31 23:00:00,10.92,20230300,10.97,20230200,10.92,20230300
2023-02-01 23:00:00,10.98,20230300,11.01,20230200,10.98,20230300
2023-02-02 23:00:00,10.94,20230300,10.96,20230200,10.94,20230300
2023-02-03 23:00:00,10.99,20230300,10.98,20230200,10.99,20230300
2023-02-07 23:00:00,11.0,20230300,10.97,20230200,11.0,20230300
2023-02-08 23:00:00,11.03,20230300,10.97,20230200,11.03,20230300
2023-02-09 23:00:00,11.07,20230300,11.13,20230200,11.07,20230300
2023-02-10 23:00:00,11.3,20230400,11.19,20230300,11.3,20230400
2023-02-13 23:00:00,11.36,20230400,11.24,20230300,11.36,20230400
2023-02-14 23:00:00,11.5,20230400,11.41,20230300,11.5,20230400
2023-02-15 23:00:00,11.47,20230400,11.43,20230300,11.47,20230400
2023-02-16 23:00:00,11.48,20230400,11.45,20230300,11.48,20230400
2023-02-17 23:00:00,11.58,20230400,11.52,20230300,11.58,20230400
2023-02-20 23:00:00,11.62,20230400,11.56,20230300,11.62,20230400
2023-02-21 23:00:00,11.29,20230400,11.15,20230300,11.29,20230400
2023-02-22 23:00:00,11.77,20230400,11.59,20230300,11.77,20230400
2023-02-23 23:00:00,11.78,20230400,11.58,20230300,11.78,20230400
2023-02-24 23:00:00,11.87,20230400,11.64,20230300,11.87,20230400
2023-02-27 23:00:00,11.92,20230400,11.65,20230300,11.92,20230400
2023-02-28 23:00:00,12.02,20230400,11.7,20230300,12.02,20230400
2023-03-01 23:00:00,11.99,20230400,11.66,20230300,11.99,20230400
2023-03-02 23:00:00,11.96,20230400,11.63,20230300,11.96,20230400
2023-03-03 23:00:00,11.92,20230400,11.56,20230300,11.92,20230400
2023-03-06 23:00:00,11.92,20230400,11.6,20230300,11.92,20230400
2023-03-07 23:00:00,11.92,20230400,11.71,20230300,11.92,20230400
2023-03-08 23:00:00,11.86,20230400,11.68,20230300,11.86,20230400
