DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-03-15 23:00:00,6.4176,20220500,6.4039,20220400,6.4176,20220500
2022-03-16 23:00:00,6.3896,20220500,6.3767,20220400,6.3896,20220500
2022-03-17 23:00:00,6.3851,20220500,6.3746,20220400,6.3851,20220500
2022-03-18 23:00:00,6.3964,20220500,6.3837,20220400,6.3964,20220500
2022-03-21 23:00:00,6.3946,20220500,6.3835,20220400,6.3946,20220500
2022-03-22 23:00:00,6.3969,20220500,6.3849,20220400,6.3969,20220500
2022-03-23 23:00:00,6.4093,20220500,6.3982,20220400,6.4093,20220500
2022-03-24 23:00:00,6.3996,20220500,6.3883,20220400,6.3996,20220500
2022-03-25 23:00:00,6.4025,20220500,6.391,20220400,6.4025,20220500
2022-03-28 23:00:00,6.4063,20220500,6.3946,20220400,6.4063,20220500
2022-03-29 23:00:00,6.3918,20220500,6.3804,20220400,6.3918,20220500
2022-03-30 23:00:00,6.3763,20220500,6.3654,20220400,6.3763,20220500
2022-03-31 23:00:00,6.3696,20220500,6.3584,20220400,6.3696,20220500
2022-04-01 23:00:00,6.384,20220500,6.372000000000001,20220400,6.384,20220500
2022-04-04 23:00:00,6.3914,20220500,6.3796,20220400,6.3914,20220500
2022-04-05 23:00:00,6.3954,20220500,6.3835,20220400,6.3954,20220500
2022-04-06 23:00:00,6.3793,20220500,6.3667,20220400,6.3793,20220500
2022-04-07 23:00:00,6.3789,20220500,6.3667,20220400,6.3789,20220500
2022-04-08 23:00:00,6.3849,20220500,6.3734,20220400,6.3849,20220500
2022-04-11 23:00:00,6.3998,20220500,6.3867,20220400,6.3998,20220500
2022-04-12 23:00:00,6.3916,20220500,6.3793,20220400,6.3916,20220500
2022-04-13 23:00:00,6.3896,20220500,6.3782,20220400,6.3896,20220500
2022-04-14 23:00:00,6.4019,20220500,6.3756,20220400,6.4019,20220500
2022-04-18 23:00:00,6.4018,20220600,6.3923,20220500,6.4018,20220600
2022-04-19 23:00:00,6.4447,20220600,6.4344,20220500,6.4447,20220600
2022-04-20 23:00:00,6.4704,20220600,6.4591,20220500,6.4704,20220600
2022-04-21 23:00:00,6.5014,20220600,6.4910000000000005,20220500,6.5014,20220600
2022-04-22 23:00:00,6.5537,20220600,6.5409,20220500,6.5537,20220600
2022-04-25 23:00:00,6.5996,20220600,6.5834,20220500,6.5996,20220600
2022-04-26 23:00:00,6.6159,20220600,6.6017,20220500,6.6159,20220600
2022-04-27 23:00:00,6.6081,20220600,6.5947,20220500,6.6081,20220600
