DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2008-12-08 23:00:00,70.65,20090100,70.2,20090200,70.2,20090300
2008-12-09 23:00:00,70.25,20090200,70.25,20090300,70.45,20090400
2008-12-10 23:00:00,71.45,20090200,71.45,20090300,71.35,20090400
2008-12-11 23:00:00,75.7,20090200,75.7,20090300,75.75,20090400
2008-12-12 23:00:00,74.1,20090200,74.05,20090300,74.05,20090400
2008-12-15 23:00:00,74.9,20090200,74.85,20090300,74.75,20090400
2008-12-16 23:00:00,73.8,20090200,73.8,20090300,73.7,20090400
2008-12-17 23:00:00,74.55,20090200,74.5,20090300,74.4,20090400
2008-12-18 23:00:00,73.5,20090200,73.45,20090300,73.45,20090400
2008-12-19 23:00:00,73.3,20090200,73.25,20090300,73.25,20090400
2008-12-22 23:00:00,73.15,20090200,73.15,20090300,73.15,20090400
2008-12-23 23:00:00,73.3,20090200,73.25,20090300,73.3,20090400
2008-12-24 23:00:00,73.2,20090200,73.15,20090300,73.1,20090400
2008-12-29 23:00:00,75.15,20090200,75.1,20090300,75.05,20090400
2008-12-30 23:00:00,74.95,20090300,74.9,20090400,74.9,20090500
2008-12-31 23:00:00,75.15,20090300,75.2,20090400,75.15,20090500
2009-01-02 23:00:00,74.2,20090300,74.0,20090400,73.85,20090500
2009-01-05 23:00:00,75.25,20090300,75.35,20090400,75.4,20090500
2009-01-06 23:00:00,79.85,20090300,79.85,20090400,79.8,20090500
2009-01-07 23:00:00,77.9,20090300,77.8,20090400,77.7,20090500
2009-01-08 23:00:00,76.95,20090300,76.6,20090400,76.45,20090500
2009-01-09 23:00:00,76.15,20090300,74.8,20090400,74.55,20090500
2009-01-12 23:00:00,71.65,20090300,68.7,20090400,68.2,20090500
2009-01-13 23:00:00,72.4,20090300,68.95,20090400,68.3,20090500
2009-01-14 23:00:00,73.15,20090300,70.15,20090400,68.85,20090500
2009-01-15 23:00:00,75.05,20090300,73.15,20090400,72.25,20090500
2009-01-16 23:00:00,76.15,20090300,74.05,20090400,73.4,20090500
2009-01-19 23:00:00,73.85,20090300,72.0,20090400,71.7,20090500
2009-01-20 23:00:00,73.3,20090300,70.3,20090400,68.7,20090500
2009-01-21 23:00:00,72.15,20090300,67.7,20090400,66.8,20090500
2009-01-22 23:00:00,72.85,20090300,68.2,20090400,67.3,20090500
2009-01-23 23:00:00,73.5,20090300,69.25,20090400,68.25,20090500
2009-01-26 23:00:00,73.25,20090300,71.9,20090400,70.9,20090500
2009-01-27 23:00:00,73.55,20090300,70.95,20090400,70.3,20090500
2009-01-28 23:00:00,73.35,20090300,71.9,20090400,70.65,20090500
2009-01-29 23:00:00,72.1,20090400,71.35,20090500,70.75,20090600
2009-01-30 23:00:00,73.0,20090400,72.6,20090500,71.9,20090600
2009-02-02 23:00:00,72.4,20090400,71.5,20090500,71.0,20090600
2009-02-03 23:00:00,70.7,20090400,69.8,20090500,69.25,20090600
2009-02-04 23:00:00,70.9,20090400,70.1,20090500,69.5,20090600
2009-02-05 23:00:00,71.7,20090400,70.85,20090500,69.95,20090600
2009-02-06 23:00:00,72.85,20090400,72.15,20090500,71.25,20090600
2009-02-09 23:00:00,76.9,20090400,76.4,20090500,75.9,20090600
2009-02-10 23:00:00,75.65,20090400,75.15,20090500,74.65,20090600
2009-02-11 23:00:00,73.4,20090400,72.15,20090500,71.4,20090600
2009-02-12 23:00:00,72.3,20090400,71.35,20090500,70.85,20090600
2009-02-13 23:00:00,73.05,20090400,72.1,20090500,71.6,20090600
2009-02-16 23:00:00,71.5,20090400,70.75,20090500,70.35,20090600
2009-02-17 23:00:00,70.7,20090400,69.85,20090500,69.5,20090600
2009-02-18 23:00:00,70.35,20090400,69.65,20090500,69.3,20090600
2009-02-19 23:00:00,70.8,20090400,69.8,20090500,69.4,20090600
2009-02-20 23:00:00,69.2,20090400,68.15,20090500,67.7,20090600
2009-02-23 23:00:00,64.8,20090400,63.75,20090500,63.55,20090600
2009-02-24 23:00:00,62.5,20090400,62.2,20090500,61.9,20090600
2009-02-25 23:00:00,64.05,20090400,63.6,20090500,63.45,20090600
2009-02-26 23:00:00,64.65,20090400,64.4,20090500,64.15,20090600
2009-02-27 23:00:00,62.15,20090400,61.6,20090500,61.5,20090600
2009-03-02 23:00:00,58.8,20090500,58.7,20090600,59.45,20090700
2009-03-03 23:00:00,59.85,20090500,59.65,20090600,59.4,20090700
2009-03-04 23:00:00,61.25,20090500,61.1,20090600,61.1,20090700
2009-03-05 23:00:00,60.0,20090500,59.85,20090600,59.95,20090700
2009-03-06 23:00:00,60.75,20090500,60.5,20090600,61.1,20090700
2009-03-09 23:00:00,60.95,20090500,61.1,20090600,61.3,20090700
2009-03-10 23:00:00,61.7,20090500,61.3,20090600,61.8,20090700
2009-03-11 23:00:00,60.9,20090500,60.85,20090600,61.25,20090700
2009-03-12 23:00:00,58.75,20090500,58.6,20090600,59.0,20090700
2009-03-13 23:00:00,58.65,20090500,58.5,20090600,58.65,20090700
2009-03-16 23:00:00,57.6,20090500,57.4,20090600,57.9,20090700
2009-03-17 23:00:00,57.75,20090500,57.55,20090600,58.15,20090700
2009-03-18 23:00:00,58.1,20090500,57.95,20090600,58.4,20090700
2009-03-19 23:00:00,60.5,20090500,60.25,20090600,60.65,20090700
2009-03-20 23:00:00,61.8,20090500,61.4,20090600,61.5,20090700
2009-03-23 23:00:00,63.75,20090500,63.75,20090600,64.25,20090700
2009-03-24 23:00:00,63.85,20090500,64.0,20090600,64.3,20090700
2009-03-25 23:00:00,62.55,20090500,62.75,20090600,62.65,20090700
2009-03-26 23:00:00,64.15,20090500,64.5,20090600,64.95,20090700
2009-03-27 23:00:00,63.4,20090500,63.9,20090600,64.4,20090700
2009-03-30 23:00:00,59.9,20090500,60.35,20090600,60.9,20090700
2009-03-31 23:00:00,61.4,20090600,62.1,20090700,62.05,20090800
2009-04-01 23:00:00,62.1,20090600,62.3,20090700,62.3,20090800
2009-04-02 23:00:00,64.0,20090600,66.15,20090700,67.0,20090800
2009-04-03 23:00:00,64.5,20090600,64.9,20090700,64.9,20090800
2009-04-06 23:00:00,64.2,20090600,65.25,20090700,65.25,20090800
2009-04-07 23:00:00,63.5,20090600,64.75,20090700,65.55,20090800
2009-04-08 23:00:00,62.75,20090600,63.75,20090700,64.15,20090800
2009-04-09 23:00:00,63.3,20090600,64.1,20090700,64.65,20090800
2009-04-14 23:00:00,63.15,20090600,64.05,20090700,64.3,20090800
2009-04-15 23:00:00,63.15,20090600,64.3,20090700,64.65,20090800
2009-04-16 23:00:00,64.05,20090600,64.65,20090700,64.9,20090800
2009-04-17 23:00:00,65.15,20090600,65.75,20090700,66.0,20090800
2009-04-20 23:00:00,64.15,20090600,64.55,20090700,65.3,20090800
2009-04-21 23:00:00,63.25,20090600,63.45,20090700,64.05,20090800
