DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-03-16 23:00:00,181.65,20220900,175.55,20220600,181.65,20220900
2022-03-17 23:00:00,181.1,20220900,175.0,20220600,181.1,20220900
2022-03-18 23:00:00,179.6,20220900,173.5,20220600,179.6,20220900
2022-03-21 23:00:00,173.45,20220900,173.6,20220600,173.45,20220900
2022-03-22 23:00:00,174.2,20220900,174.35,20220600,174.2,20220900
2022-03-23 23:00:00,171.75,20220900,171.9,20220600,171.75,20220900
2022-03-24 23:00:00,171.65,20220900,171.8,20220600,171.65,20220900
2022-03-25 23:00:00,171.3,20220900,171.45,20220600,171.3,20220900
2022-03-28 23:00:00,173.4,20220900,173.55,20220600,173.4,20220900
2022-03-29 23:00:00,177.8,20220900,177.95,20220600,177.8,20220900
2022-03-30 23:00:00,174.3,20220900,174.45,20220600,174.3,20220900
2022-03-31 23:00:00,172.65,20220900,172.8,20220600,172.65,20220900
2022-04-01 23:00:00,173.5,20220900,173.65,20220600,173.5,20220900
2022-04-04 23:00:00,174.25,20220900,174.4,20220600,174.25,20220900
2022-04-05 23:00:00,172.4,20220900,172.55,20220600,172.4,20220900
2022-04-06 23:00:00,169.45,20220900,169.6,20220600,169.45,20220900
2022-04-07 23:00:00,168.6,20220900,168.75,20220600,168.6,20220900
2022-04-08 23:00:00,171.4,20220900,171.55,20220600,171.4,20220900
2022-04-11 23:00:00,171.35,20220900,171.5,20220600,171.35,20220900
2022-04-12 23:00:00,171.1,20220900,171.25,20220600,171.1,20220900
2022-04-13 23:00:00,170.45,20220900,170.6,20220600,170.45,20220900
2022-04-14 23:00:00,171.2,20220900,171.35,20220600,171.2,20220900
2022-04-19 23:00:00,171.35,20220900,171.35,20220600,171.35,20220900
2022-04-20 23:00:00,172.85,20220900,172.85,20220600,172.85,20220900
2022-04-21 23:00:00,175.5,20220900,175.5,20220600,175.5,20220900
2022-04-22 23:00:00,171.65,20220900,171.75,20220600,171.65,20220900
2022-04-25 23:00:00,168.95,20220900,169.05,20220600,168.95,20220900
2022-04-26 23:00:00,167.8,20220900,167.9,20220600,167.8,20220900
2022-04-27 23:00:00,166.9,20220900,167.0,20220600,166.9,20220900
2022-04-28 23:00:00,168.95,20220900,169.05,20220600,168.95,20220900
2022-04-29 23:00:00,169.45,20220900,169.55,20220600,169.45,20220900
2022-05-02 23:00:00,166.5,20220900,166.6,20220600,166.5,20220900
2022-05-03 23:00:00,167.7,20220900,167.8,20220600,167.7,20220900
2022-05-04 23:00:00,168.65,20220900,168.75,20220600,168.65,20220900
